No,date,open,high,low,close,volume
370,21/10/2020,186.17,189.19,185.88,187.34,150127
371,22/10/2020,186.61,188.44,184.64,187.42,143397
372,23/10/2020,187.54,188.64,185.91,188.59,130185
373,26/10/2020,186.51,188.69,181.5,183.23,262780
374,27/10/2020,184.57,187.23,183.44,185.99,220740
375,28/10/2020,181.06,182.15,176.27,176.77,349984
376,29/10/2020,177.88,180.86,177.38,178.55,209618
377,30/10/2020,177.46,178.18,174.1,176.59,234922
378,02/11/2020,178.16,179.04,174.54,176.47,199333
379,03/11/2020,177.66,181.52,177.16,180.05,183037
380,04/11/2020,186.66,190.41,185.26,188.73,287814
381,05/11/2020,193.47,195.47,192.88,194.75,243087
382,06/11/2020,193.72,195.68,190.16,195.13,173840
383,09/11/2020,195.54,198.96,190.03,190.48,246564
384,10/11/2020,187.02,188.83,182.91,184.04,299435
385,11/11/2020,185.25,190.17,185.08,188.87,174905
386,12/11/2020,189.47,191.1,187.05,187.9,146763
387,13/11/2020,188.67,189.63,186.79,188.84,122693
388,16/11/2020,187.45,189.91,187.06,189.46,152978
389,17/11/2020,188.48,189.86,186.72,187.05,148759
390,18/11/2020,186.75,188.16,184.45,184.58,177578
391,19/11/2020,184.85,186.29,183.58,185.75,155570
392,20/11/2020,185.55,186.51,183.64,183.98,138663
393,23/11/2020,184.38,185.64,182.03,183.73,149574
394,24/11/2020,183.19,187.36,182.64,187.01,202032
395,25/11/2020,188.26,188.26,185.79,187.02,138960
396,27/11/2020,187.88,189.12,187.17,188.21,91600
397,30/11/2020,187.28,187.8,184.36,187.2,185132
398,01/12/2020,187.57,190.04,186.57,189.07,201288
399,02/12/2020,187.91,188.42,186.09,188.33,140755
400,03/12/2020,187.74,189.22,186.83,187.35,158639
401,04/12/2020,187.33,188.34,186.42,187.45,144705
402,07/12/2020,187.49,188.48,186.25,187.39,133157
403,08/12/2020,187.23,189.71,186.16,188.89,143871
404,09/12/2020,188.2,188.21,184.7,185.21,195361
405,10/12/2020,185.24,186.33,183.95,184.09,161309
406,11/12/2020,183.68,186.54,182.86,186.49,184758
407,14/12/2020,186.23,189.07,186.16,187.31,172196
408,15/12/2020,188.16,188.38,185.59,187.25,166698
409,16/12/2020,187.9,192.48,187.76,191.75,224657
410,17/12/2020,192.18,193.16,190.56,191.87,185893
411,18/12/2020,191.23,192.11,188.9,191.15,267195
412,21/12/2020,190.24,195.88,190,194.65,239574
413,22/12/2020,194.63,197.3,194,195.83,149870
414,23/12/2020,195.11,195.49,193.08,193.27,116883
415,24/12/2020,193.62,195.54,193.43,194.79,76577
416,28/12/2020,196.27,197.65,195.03,196.72,123716
417,29/12/2020,197.68,198.66,195.51,196.01,120477
418,30/12/2020,197.01,197.3,193.67,193.85,130603
419,31/12/2020,193.82,195.01,192.1,194.5,121498
420,04/01/2021,194.6,195.01,187.84,190.36,208941
421,05/01/2021,190.29,191.09,188.62,190.55,135061
422,06/01/2021,185.54,189.31,185.36,185.6,226851
423,07/01/2021,187.16,191.8,186.88,190.89,158864
424,08/01/2021,191.3,192.89,189.77,192.05,139013
425,11/01/2021,191.12,191.43,189.52,190.19,117474
426,12/01/2021,189.37,189.85,186.54,187.95,155241
427,13/01/2021,187.16,189.55,187.05,189.18,121660
428,14/01/2021,188.95,190.16,186.03,186.28,169367
429,15/01/2021,186.72,187.58,185.41,185.95,178741
430,19/01/2021,186.92,189.74,185.94,189.27,159672
431,20/01/2021,190.56,197.44,190.01,196.18,259447
432,21/01/2021,196.55,197.89,194.5,196.73,177398
433,22/01/2021,198.57,201.19,197.45,197.58,201985
434,25/01/2021,200.42,200.93,196.07,200.72,212643
435,26/01/2021,202.67,204.78,201.2,203.16,289879
436,27/01/2021,208.12,210.25,201.25,203.66,474393
437,28/01/2021,206,212.18,205.58,208.93,312965
438,29/01/2021,206.4,208.14,202.31,202.84,266366
439,01/02/2021,205.58,212.06,203.25,209.57,219605
440,02/02/2021,210.89,211.89,208.72,209.44,166325
441,03/02/2021,209.5,214.32,209.22,212.49,179914
442,04/02/2021,212.27,212.7,210.2,211.63,161597
443,05/02/2021,211.83,212.74,210.24,211.8,112210
444,08/02/2021,212.68,213.09,210.58,212.03,109282
445,09/02/2021,211.62,214.04,211.08,213.17,113573
446,10/02/2021,214.22,215.05,210.65,212.34,144486
447,11/02/2021,213.83,214.37,211.75,213.8,94021
448,12/02/2021,213.47,214.5,212.26,214.23,97426
449,16/02/2021,214.31,215.24,212.42,213.11,128009
450,17/02/2021,211.51,214.13,211.18,214.04,97955
451,18/02/2021,211.9,213.8,211.11,213.68,108030
452,19/02/2021,213.69,213.74,210.51,211.2,174348
453,22/02/2021,208.09,208.54,203.69,205.54,236961
454,23/02/2021,201.77,205.82,200.48,204.46,194737
455,24/02/2021,201.6,206.15,200.71,205.58,167619
456,25/02/2021,203.52,205.61,199.73,200.7,247679
457,26/02/2021,202.95,206.3,201.19,203.68,191714
458,01/03/2021,206.76,208.14,204.35,207.67,154403
