,date,open,high,low,close,volume
296,2020-07-08,82.00,83.03,81.92,83.01,825485.0
297,2020-07-09,83.81,83.86,82.42,83.30,909511.0
298,2020-07-10,82.91,83.56,82.45,83.51,628205.0
299,2020-07-13,84.69,87.02,82.93,83.13,1385954.0
300,2020-07-14,82.56,84.67,81.73,84.50,1171127.0
301,2020-07-15,86.19,86.41,84.01,85.08,1131077.0
302,2020-07-16,84.04,84.80,83.50,84.03,786515.0
303,2020-07-17,84.37,84.58,83.44,83.87,632955.0
304,2020-07-20,83.92,85.75,83.63,85.63,621804.0
305,2020-07-21,86.34,86.41,84.23,84.45,725787.0
306,2020-07-22,84.16,85.30,84.10,84.69,591475.0
307,2020-07-23,84.45,84.52,80.10,80.83,1349141.0
308,2020-07-24,79.18,80.94,77.63,80.63,1351075.0
309,2020-07-27,81.59,82.63,81.39,82.54,855986.0
310,2020-07-28,82.07,82.31,81.18,81.19,647837.0
311,2020-07-29,81.62,82.91,81.59,82.74,641162.0
312,2020-07-30,82.00,83.84,81.64,83.74,903952.0
313,2020-07-31,89.56,92.65,87.78,92.51,2693797.0
314,2020-08-03,94.30,97.19,93.93,94.84,2291900.0
315,2020-08-04,95.00,96.46,94.36,95.47,1295876.0
316,2020-08-05,95.25,96.11,94.81,95.82,859876.0
317,2020-08-06,96.11,99.61,95.58,99.16,1520426.0
318,2020-08-07,98.73,99.15,96.19,96.91,1384489.0
319,2020-08-10,98.18,99.23,95.94,98.32,1604793.0
320,2020-08-11,97.62,98.10,95.16,95.40,1182393.0
321,2020-08-12,96.32,98.80,96.20,98.56,1217430.0
322,2020-08-13,99.81,101.21,99.37,100.31,1550069.0
323,2020-08-14,100.08,100.30,98.59,100.22,1212603.0
324,2020-08-17,101.21,101.25,99.40,99.96,792389.0
325,2020-08-18,99.73,101.17,99.44,100.79,742227.0
326,2020-08-19,101.16,102.19,100.83,100.92,1040312.0
327,2020-08-20,100.96,103.26,100.94,103.16,891424.0
328,2020-08-21,104.00,108.91,104.00,108.47,2527711.0
329,2020-08-24,112.25,112.33,108.09,109.77,2446852.0
330,2020-08-25,108.75,109.18,107.32,108.87,1553469.0
331,2020-08-26,110.06,110.76,109.10,110.35,1130781.0
332,2020-08-27,110.87,111.19,108.00,109.03,1069327.0
333,2020-08-28,109.91,110.28,108.65,108.85,1156438.0
334,2020-08-31,111.30,114.26,109.89,112.54,1629392.0
335,2020-09-01,115.82,117.57,113.85,117.03,1164862.0
336,2020-09-02,120.01,120.34,110.76,114.60,1538317.0
337,2020-09-03,110.72,112.37,105.10,105.43,1882206.0
338,2020-09-04,104.78,107.89,96.71,105.50,2589920.0
